aggregation,date,Maximum,Minimum,Mean
20221017T0000,17-10-2022,26.9051,21.6351,24.606768
20221018T0000,18-10-2022,27.7151,22.2251,24.936348
20221019T0000,19-10-2022,27.2051,20.8951,23.632599
20221020T0000,20-10-2022,27.5051,21.5951,24.644266
20221021T0000,21-10-2022,26.6451,21.9151,24.2876
20221022T0000,22-10-2022,27.1651,20.8851,23.701765
20221023T0000,23-10-2022,28.1851,17.285099,23.008018
20221024T0000,24-10-2022,28.3351,19.0851,23.317184
20221025T0000,25-10-2022,28.4851,18.3851,23.005098
20221026T0000,26-10-2022,28.7451,18.2251,23.44635
20221027T0000,27-10-2022,28.535099,18.2951,23.345514
20221028T0000,28-10-2022,28.3951,17.9051,22.931349
20221029T0000,29-10-2022,28.4851,17.8751,22.723013
20221030T0000,30-10-2022,29.0651,17.775099,23.10885
20221031T0000,31-10-2022,28.3751,17.8251,23.372183
